,Unnamed: 0,id_review,date,product_id,user_rating,date_other_format,user_id,title,review
2682,2262,2340,20110617,B003EMVVMM,3,"June 17, 2011",AMKLKN5W5ZVFN,Razor blades,The new Proglide blades are good but I can\'t tell the difference between them and the older fusion blades. They are expensiive so if you are happy with the Fusion blades stick with them I have also tried the new Schick hydro blades and I think they give a closer shave at a cheaper price.    
5320,2147,2197,20120401,B002HWS9GG,5,"April 1, 2012",AOTT5G2Q7TIUG,super comfortable,This is my first electric tooth brush & there was no need to get used to it; very comfortable & easy to use...
6079,2906,2986,20111117,B003UKM90Q,1,"November 17, 2011",A1UN0DVTP8TQ2S,Bad Battery!!!,"Battery is dead!!! I charged it 24 hours each time for 3 times. And every time, the battery can last no longer than 30 seconds. Very poor product!!!"
1997,1577,1629,20090505,B001JQLNFA,5,"May 5, 2009",A3P4WOECOANW1M,another great razor from Gillette,I have been pleased with the entire line of Venus razors from Gillette. They have the shape and design down pat for a woman\'s needs. This version is another great razor. I like the soft color and the holder it comes with for the shower. The moisturizing strips really help you get a close shave.    
613,193,201,20111205,B0001LQGEM,2,"December 5, 2011",A3QV4UCEDONFRO,2 better than 3,"I am fine with the 2 blade sensor but the 3 blade doesn\'t seem to shave as well, I have to go over spots frequently.  Worse yet, it seems much more difficult to reach under my nose.  Will go back to the 2 blade sensor cartridges when the are gone (if not before)    "
5572,2399,2455,20100810,B002HWS9GG,5,"August 10, 2010",AII5C30XX7G2B,My favorite toothbrush,"I\'ve been using this toothbrush since December of 2009. The main thing that made me purchase it was that it had an indicator (on the clock/timer) that let you know if you were brushing your teeth too hard. I was told by my dentist to stop brushing so hard (slightly receeding gumline) and this toothbrush has helped me tremendously. My teeth have never felt more clean and I am no longer having sensitivity issues. It makes me feel like I have just had a cleaning at the dental office. It seems a bit pricey at first but I have always been able to find the brushheads cheaper than manual toothbrushes so it makes up for it in the long run. I highly recommend using the sensitive brushhead if you have sensitive teeth and receeding gums. This toothbrush is amazing, try it!"
2859,2439,2518,20090604,B004B8AZH0,5,"June 4, 2009",AY7TOAOOBOIBJ,Greate Blades,"I have been using the fusion razor for some time now, so I have to buy these catridges, I found the best price on amazon so I bought it here.    "
3146,2726,2811,20120224,B0062IWQVU,5,"February 24, 2012",A639QZ73NWS4I,Love this thing!,"Not much more to say...Easy to use, easy to clean, easy to store, easy to love! I would definitely recommend this to anyone.    "
1598,1178,1209,20111202,B0013MTHWQ,4,"December 2, 2011",AD9ZUDHM42142,No razor burn,"I was afraid to use these.  Going from a 3 blade to a 5 blade is a serious jump. I\'m happy to report no Knicks or razor burn. These feel great, I wondered if it was getting a close shave because of the slimy moisturizer that it imparts, but it does! Seems pricey at $3 each but I think it\'s worth it, as long as I can get 3 weeks out of one cartridge.    "
3695,522,533,20100217,B0002KHU3I,5,"February 17, 2010",A3UMTMT35MR26A,Great buy....,Great buy.....excellent value & perfect product for my use.....better value than at any local store....
896,476,486,20060211,B000BUUVTE,5,"February 11, 2006",A1OAN01CO11VIX,Best Razor Design,"I moved from a SensorExcel (2 blades) to this and this one is much better.I had a full face of hair (I hadn\'t shaved in about 4-5 days), enough to start a beard. One slow stroke across each section of skin with this razor was enough to clear out the hair with more precision than the SensorExcel could after 3 or 4 strokes.That is: a *new* SensorExcel blade in the same situation (4-5 days worth of hair) did worse and resulted in at least 3 cuts on average (whereas this blade resulted in no cuts). So clearly the new design helps. It does exactly what the ad says: spreads out the pressure of the cutting edges to reduce (eliminate in my case) the effect of your skin wrapping around the blade and causing cuts.But I believe you must use this blade SLOWLY. If you have the full face of hair like I did, that would be about 2 square inches per stroke, then wash. You can look into the blade and see very easily how full it is because with all those blades stacked so tightly together all the hair stays on the surface.This makes it easy to clean, too. Just run your thumb down the blades and you will easily unclog them. Compare this to the SensorExcel: once hairs were stuck in the abyss, they were usually there for good, requiring frequent blade changes. Hopefully this means the expensive blades will last longer (and thus prove to be worth the expense).This razor *is* an example of improvement via technology. I cannot agree that it is *revolutionary* but it is a good idea and it *is* the best razor design (I\'m comparing to double and triple razor designs, which I have used in the past). So it isn\'t the best on a revolutionary scale but it is the best.This razor\'s product execution was also an example of ridiculous marketing strategies gone over the top and if you want a laugh (or to be offended by the sheer obfuscation of information via distracting animations, interface, and sexual innuendo), I suggest checking out its website. The company could have made a greater profit had they foregone the ridiculously over-interfaced website because I doubt it convinced anyone. My first thought on entering was \'do I have to defeat the first boss before I can see their explanation for why a Power version of my razor is better?\' Along with the handle and cradle design, I would call it one of the most absurd and gaudy product executions I\'ve ever seen.However, the company luckily stumbled upon the best razor design in the process.    "
4132,959,978,20101130,B000AUIFCA,1,"November 30, 2010",A21VGTJU89TSSQ,definitely knockoffs,"we\'ve bought these type of brush heads many times and they are great. but we have never bought them from this dealer and never will again. they are terrible!!! first of all, they do not fit right...they are loose not only where the head attaches to the brush, but the brushhead itself is also very loose, and all 3 of them eventually lost the little screws in them and they fell off in our mouths while we were brushing. I will NEVER buy these from amazon again...when I tried to contact the seller, I got an email back saying they are just the distributer and can\'t do anything about it.stay away!!!"
1101,681,704,20120320,B000BUW8WM,3,"March 20, 2012",A3O7Q9IX1ZCB73,Good but expensive replacement blades,Close shave and very comfortable.The head flexes and allows for reach into those areas.BUT the replacement blades are expensive!!!I only get 1 week of shave out of it and it costs $3+ to replace3 x 4 thats $12 a month Gillete is making out of me :(    
5167,1994,2040,20110912,B002HWS9GG,5,"September 12, 2011",A25FOWNP885FG6,AWESOME!,So far I love it!The price of 52 bux cant be beat. Only thing is sometimes my gums are still bleeding so I have to turn the motion down a noch.
2285,1865,1936,20110605,B003983HZK,2,"June 5, 2011",A2E7B9YN3ESUEN,If you want to get a close shave use the Fusion Power blades,"I was really hopeful when I bought these razor blades. I\'ve used the fusion power for about three years and I\'ve been very happy, the blades stay sharp for a long time, they shave very close and don\'t leave terrible bumps anywhere you shave. I thought maybe the ProGlide blades would be even better, but they weren\'t. I\'ve never had a worse shave, the blades were dull as soon as they touched any hair. I would take a two blade disposable blade over the Fusion ProGlide. Don\'e ever get these blades as replacements, you\'re better off with the Fusion Power blades.    "
5428,2255,2307,20120228,B002HWS9GG,5,"February 28, 2012",A1T8GDDQLPMENJ,Amazing! teeth feel so clean,"If you want to feel like you just went to the dentist, buy this tooth brush, wait for a sale but buy it :)"
1100,680,702,20080508,B000BUUVTY,4,"May 8, 2008",A14TQZMJ9663UW,Works,"I\'m curious why the plastic on these blades does not match any of the plastic on my razor or the colors from my other blades purchased at my local convenience store, but since these blades work I\'m not (totally) complaining.  5 blades are definitely better than 1.  I think the price in general for this brand is out of control, but it\'s probably the best that I\'ve used.    "
3163,2743,2828,20120205,B0062IWQVU,5,"February 5, 2012",AG3VVRJAELKVX,Great product,This is the best razor and trimmer on the market. The grooming trimmer is better than all other companies. Gillette and Braun got it right.    
5707,2534,2593,20120204,B003CP12Q6,3,"February 4, 2012",AWMCQAXLQ4FCK,cleans better but hurts cheeks,"very nice tooth brush for a better cleaning of your teeth , the only CON is it hurts your cheek, when you brush your teeth, the  backside rubs and hurts your cheek and I get BLOODY mouth."
4499,1326,1357,20100422,B0014IKO6C,3,"April 22, 2010",A24KUMB2TXJXEA,Doesn\'t Fit My Braun Well,"I ordered this because it is the exact model used in my Braun today and therefore the recommended replacement.  Well, they must have outsourced the production of these baskets too.  It barely fits to the point I have to force the ground holder to close it."
6630,394,403,20100605,B004ISB3AG,5,"June 5, 2010",A3QNQQKJTL76H0,An excellent shampoo for those with a sensitive scalp,"I\'ve been using this shampoo every day for a week and am very impressed with it. For an unassuming non-specialty brand, it delivers excellent cleaning properties and better performance than many of the specialized brands I\'ve tried. My scalp is very sensitive and I have a hard time finding shampoo that does not leave my scalp dry and itchy. This Pantene Pro-V leaves my hair feeling clean and does not dry out my scalp like many other brands, even ones that claim to be moisturizing.It is clear with no FD&C dyes, pleasantly-scented (floral) and produces a thick, sastifying lather. I am a male with short-medium length hair. A dollop the size of a quarter is all I needed to work into a rich foam that covers my entire head. One bottle should last me more than 6 months at this rate, making this product an excellent value. Highly recommended. "
2295,1875,1947,20110106,B003983HZK,5,"January 6, 2011",A1P1BH8F68KOYQ,I\'ve always hated shaving...,"... and I still do.  But I hate it way less with these bad boys.  I switched from 4 blades to the Fusion and its made a huge difference.  Rarely have cuts anymore, less iritation and razorburn and way more comfortable.    "
5582,2409,2465,20100723,B002HWS9GG,5,"July 23, 2010",A3USIALK4XWS3M,Great product,Love the Oral B elecric toothbrush and especially like the timer/clock that comes with it.
3678,505,516,20061103,B0002KHTG6,5,"November 3, 2006",A39SCU7KSK7330,Once a day is gooooood!,"I don\'t use it a lot, just sometimes. I have two brushes. Even if I didn\'t I would change the head to do regular cleaning. I guess I would do what another said, once a day."
6109,2936,3016,20110808,B003UKM90Q,1,"August 8, 2011",AGW82U51PXRMS,Bad quality & not reliable at all!,"Bought it on Aug. 3rd 2011 and received it on 5th 2011. The seller is Amazon. I used it for only 3 to 5 seconds, it suddenly stopped! I thought the battery had been out, so I charged it for around 10 hours according to the manual. Then it started to work for another 10 seconds and stopped again. The handle became warm after the second charging.I have called Oral-B\'s customer service this morning. They told me to charge toothbrush again.(Their argument is that when I was charging the unit, I was leaving it power \'on\'.) I did again with power \'off\' and this time it even does not function! The handle is become warmer!The toothbrush did not even touch the toothpaste!I know this problem may not be pervasive, but it indicates problems of the lower quality control of Oral-B and its unprofessional customer service. With these two serious problems, as to this power toothbrush model, I may not trust this brand anymore, unless they could provide me evidences to prove their high quality of their products.My recommendation is to try other brands or Oral-B\'s more advanced power toothbrush models. Do not even think about this model! Save your time and money!"
1651,1231,1263,20110830,B0017WIL0Q,4,"August 30, 2011",A1Q860RFDYAUVJ,A Great Deodorant & Antiperspirant,"In terms of antiperspirant & deodorizing power, this is probably the most powerful I\'ve used.You\'ll smell fresh and feel great all day. However, there were a few issues I had.First off, it\'s a bit messy. You twist the bottom and sometimes it comes out, sometimes it doesn\'t.Sometimes you just have to keep twisting. Once you apply, if you put a shirt on right after, chances are it\'s going to get on the shirt.The first day I somehow got it on my hands after putting my shirt on and went to eat breakfast. Didn\'t taste very good.Secondly, when showering the next day it leaves an odd waxy residue that literally has to be rubbed off (it catches your finger).But I suppose that\'s why it\'s such a powerful antiperspirant and deodorant.Both are fairly non-issues, but are important to consider if looking at all of your options.If you can live with it being a bit messy, it\'s definitely a very powerful deodorant and antiperspirant.At the current discounted price it\'s around 4 bucks each in the pack of 6, which is a bit expensive-- but it\'ll definitely keep you fresh all day.    "
1578,1158,1189,20090913,B000XVTYYY,5,"September 13, 2009",A1T61C4U8U44EU,Good  razor  blade,I bought this Mach 3 refilled for my son. He goes to these blades if it was like candy. It was on today special so I decided to order it. He is going to college so that is what dad is for. I use one time and it is much better than mines. I would recommend this item.    
457,37,38,20110330,B000052YHS,5,"March 30, 2011",APV7I0Y4UHA8O,the best razor by far,I have been buying these since they came out. great handle and amazing blades. This is the BEST RAZOR ever!    
1159,739,764,20090728,B000BUW8WM,1,"July 28, 2009",A1AJHFYPA8XTLY,junk,"if you need a vibrator for cheap that doubles as a razor this is still a junk product. Just finished shaving with it, I had to go over my entire face with a another razor that was getting on the dull side. Basically it caught hair more then it actually cut anything. The blades are placed so tight together and at such a acute angle that it never reaches the base of the follicle. This left me with a five\'o\'clock shadow in patches. I ran my fingers over the blades to see if they were dull, and surprisingly they slide right over them.Over all substandard quality. I\'ll be sticking with my plain old three blade Schick. I\'m just glad I had one left over to clean up after the Gillette.    "
1202,782,808,20070109,B000BUW8WM,5,"January 9, 2007",AC77TV2U5GH2A,BEST SHAVE EVER,I HAVE USED MANY RAZORS IN MY TIME BUT I COULD NOT GET A GOOD CLEAN SHAVE. I HAD TO TAKE THE SKIN OFF MY FACE TO GET  A GOOD  SHAVE. BUT WITH THE GILLETE FUSION POWER SHAVER I GOT THE BEST SHAVE EVER. I HAVE A VERY TUFF BEARD BUT THIS SHAVER GOES  THRU IT WITH EASE. THIS IS THE BEST MONEY YOU EVER WILL SPEND ON ANY RAZOR.I HIGHLY RECOMMEND IT.    
2567,2147,2223,20110729,B0039LMT9C,5,"July 29, 2011",A4YG26XYCO726,Love it!,"I love love love this razor! I have been using another brand, the Schick Intuition (the one with the built-in shave bar) for 5+ years. The bar runs out very quickly and I was always cutting myself so I decided to switch razors.I cannot believe how smooth my legs are with this razor! It cuts very close and I haven\'t cut myself once (I\'ve been using it for about a month now). I don\'t even mind having to use shaving cream. I\'d highly, highly recommend this razor.    "
5511,2338,2392,20101018,B002HWS9GG,5,"October 18, 2010",A2T4UEWD8EQ01W,Great Toothbrush!,"We purchased two, his and hers, and we really love our new toothbrushes!  As other have said a dentist clean everytime you use them.  I wanted to say which I hadn\'t read any where while researching is that the \'Wireless SmartGuide\' has the capability to work with 2 brushes, so no need to have to use 2 SmartGuide in the bathroom.  And we also love when the smartguide face winks at us!"
1820,1400,1447,20091016,B001F51QQG,5,"October 16, 2009",A306MGUMAR5M62,Amazon.com,Everything that I purchase from Amazon is the best. Their liberal and free return policy is 100% flawless.Amazon is win-win !!!    
1764,1344,1390,20090423,B001F51QJ8,4,"April 23, 2009",A1J5HIF41ENSMZ,Effective with an unpleasant (to me) smell,"This product does what it\'s supposed to do - reduce or prevent perspiration.  It will also maintain its effectiveness after you take a shower.  In fact, it\'s recommended to apply this at night only even if you shower in the morning.  That\'s a nice aspect, in my opinion.The only reason that I knocked it down one star is because I don\'t like the smell of it.  It\'s too \'mediciney\' to me.  That is completely personal preference, though.  The only suggestion that I\'d make is to (if possible) check out the smell at a local store before ordering it online.    "
2252,1832,1902,20120316,B003983HZK,5,"March 16, 2012",AKJGDRD6DICYJ,Great Razors.,"Gillette Fusion Proglide razors are a bit pricey but I would recommend them to anyone. They give a great close shave & the blades don\'t get dull as quickly as most razors I\'ve tried.For a good shave, wash skin before shaving, then hold a HOT towel to the hair/skin area you\'re about to shave. That will soften the hair and open the pores.I also recommend Kiehl\'s brand \'Blue Eagle\' or \'White Eagle\' shaving cream. It\'s about $20 a jar but it\'s by far the best shaving cream I\'ve used. It\'s so thick you can even reshave each area many times without getting razor burn or irritation.Using cold water on the area after shaving will close the pores more quickly and help avoid razor bumps and dirty pores, etc...    "
1703,1283,1319,20111203,B001F51QJ8,5,"December 3, 2011",A1EMDSTJDUE6B0,Replace Sure,"I\'ve used Sure for about 15 years, but something has changed over the past year or two and I had to look for a replacement.I tried several others and wasn\'t satisfied. I did a lot of searching online and ended up with this, which I really like.I\'ve heard of people having reactions, but it seems to work fine for me. I guess time will tell.The cost is higher, of course. It\'s probably two to three times the per-unit cost of the previous product. However, when I compare how much less I use (i.e., waste) of this, I\'m thinking it\'s about the same cost. And I\'m staying dry and not getting embarrassing blobs falling out of my shirt.    "
2607,2187,2264,20110913,B0039LMTHE,5,"September 13, 2011",A1LWYF28ZP6VB9,tried and true,"Received the product very fast and in perfect shape.  The item is as described and has completely met and exceeded my expectations.  I would definitely order this again and I\'m glad I read all the reviews first.  In response to the Negative reviews below, I have not found them to be accurate.Tried and true, the razors are the best I\'ve found and Amazon has them at a great price.    "
6316,80,82,20111106,B003EGSA3Q,5,"November 6, 2011",A5TABSUAD101L,Hands Down Favorite,"This is my absolute favorite conditioner of all time, and I\'ve tried a lot of them. My hair is very hard to manage. I have a combination of frizzy and staight hair. It\'s also very oily and thick. This conditioner makes the difference between a good hair day and bad hair day. I try not to use the same conditioner everytime I wash my hair, because I\'ve heard it\'s better to alternate, but I like this one so much, I find myself using it 99 percent of the time. It\'s especially good if you looking for something to give your hair more volume, without the frizz.Jennifer K. LaffertyAuthor of Offbeat Love Stories and More "
2939,2519,2599,20060323,B004B8AZH0,5,"March 23, 2006",ADQG79SS5N72A,Doesn\'t Provoke Folliculitis!,"If you suffer from folliculitis, this may just be the razor you were waiting for! I tried the Mach 3 a few different times over the years but all it would take was just one shave and, boom!, my face would break out with folliculitis. Although Gillette claims the Mach 3 reduces irritation, I always found it super irritating.Two things seem different about the Fusion. The closer spacing of the blades seems genuinely to reduce the irritation I found in the Mach 3. The Mach 3 always seemed to dig into my face and scrape away layers of skin. Not so with the Fusion!Second, it seems to me that the way that the Fusion shaver cartridge is mounted to the handle makes for a better angle of shave. I haven\'t noticed that Gillette makes any claim that the way the Fusion\'s blade is mounted is any different from the Mach 3, but still, I think it is slightly different. I always felt like the leading edge of the Mach 3 shaver cartridge had too sharp an angle against my skin. It seems like the Fusion avoids this by mounting the \'hinge\' farther back on the shaving cartridge. Thus, the rubber fins in front of the blades makes the cartridge ride more level or flat over the face. Truly an improvement however it was achieved!Also, before I used the Fusion, I thought five blades were a little ridiculous. I figured you could never get close in front of the ears, under the nose, etc. However, I have found that five blades aren\'t ridiculous. The special trimmer blade is nice but I find I don\'t hardly need it. I can get into close spaces generally without it.In the end, I have used the Fusion and enjoyed a totally comfortable shave! No folliculitis outbreaks resulted from my use of it! I really like the razor.    "
5781,2608,2671,20100829,B003UKKH6O,4,"August 29, 2010",AGEKVD8JPZQMT,It\'s like getting cleaned by the dentist!!,"I\'m not talking about the bad part with the drilling - i\'m talking about the very end of your cleaning.  You know, when he gets the polisher out and rubs your teeth with it.  That is pretty much the same sensation you get with this brush.  I had to learn to not hold it against my teeth so hard because it was vibrating my entire head.I have to caveat.  I also own a Phillips Sonicare toothbrush.  To be honest, I think that the Sonicare feels better on my gums and also I think it does a better job overall.  HOWEVER, I hate my sonicare because of the way it grows mold.  The new sonicare models get your nasty toothpaste-spit mixture inside of the brush head where you can\'t see it growing mold.  Unless you actually unscrew the head and wash it out every day, and leave it taken apart to dry out, you will get mold inside your sonicare - and once that happens the brush pretty much smells like mold for the duration of its life (there may even be mold inside of the handle itself which I just cannot see without breaking it).This is not the case for the Oral-b Vitality.  The vitality features a snap-on type head which has no cracks to allow water to seep through.  The new sonicare features a flexible head, which I believe creates the problem with the mold (the old sonicares did not flex nor did they have the same mold problem).  The Viatlity head does not flex, it\'s just a straight snap-on piece with a rotating brush head at the top.Another thing I like about the Vitality is that it has changeable heads.  There are different heads which you can attach for different uses: Floss-Action, Pro White, and Dual Clean heads.  I use the Floss-Action and Pro White attachments - 2 minutes for each attachment.  The Floss action feels somewhat similar to a normal brush and gets all the stuff off your teeth, but the Pro-White has a weird yellow rubber thing in the middle of the bristles which rubs up against your teeth and whitens/polishes them.The Vitality also beats the sonicare in that it\'s brush heads come in packs of 3 for $20, whereas the sonicare offers packs of 2 for $20 (however, I believe the sonicare claims it lasts for 6 months and the vitality for 3).BATTERIES - the sonicare lasted about a month on a single charge - the Vitality only lasts about 2 weeks.That is all I can think of to put in this review.  The only reason I gave this brush 4 stars instead of five is because I wish it had more of a Sonicare vibration action - however it has an interesting rotating action which takes some getting used to.  The Vitality just doesn\'t feel like it cleans the gumline as well as the sonicare did - but at the same time it feels like it cleans the surface of the teeth better than the sonicare."
1441,1021,1050,20080427,B000XVSNTQ,5,"April 27, 2008",A22019GDU7OVFG,great razor worth every penny,"This is a really great razor. It has 5 blades and a strip around the outer edge that helps it glide over the skin.I am not disappointed in this one.This razor is pricey and the refills are not cheap, but you get more than what you pay for.Worth every penny.    "
2269,1849,1920,20111103,B003983HZK,4,"November 3, 2011",A2UFY4WM3388CR,Amazing blades at a good price,"I use the Gillete Fusion Proglide Power razor. The razors for the power version differ from the manual one in minor ways. They both fit into each other.The power one is a bit costlier so I got this one to save some pennies. Amazon sells it cheaper than any of the stores ! I would say if you wanna grab one of these, this is the place to do so.    "
6208,3035,3121,20120331,B003XE3278,2,"March 31, 2012",A3TUV1LTM8CB0E,Smaller Size,The toothbrushes are smaller than what they appear in the image. They are a compact size; not the regular size as displayed for this product.
5833,2660,2725,20100916,B003UKKHB4,5,"September 16, 2010",A2V2URLB31HG59,I\'m A Sonic Rookie But Liking It So Far,"This is the first high powered sonic toothbrush I have used, up to now have always used old school toothbrushes.  I\'ve been meaning to get one and finally got around to it.  My dentist really sings the praises of these types of toothbrushes.After using this Oral-b 3K for a few weeks I really like it so far.  The first few times using it were a bit jarring because it sort of feels like a jackhammer on my teeth.  But, my teeth feel much cleaner than regular brushing and it\'s easier to clean a few plaque-prone areas.My pros:  seems superior method to regular toothbrush, good handle size in my hand, good brush size in my mouth, holds a good battery charge, base has spots for extra heads for other family members, pressure sensor light works for me, timer is good.My cons:  my only con so far is that I don\'t like how the base charger cord is long...this sits on my bathroom vanity so has unsightly cord bunched...would like shorter cord or hide it in the base somehow.I can\'t speak to durability so far since only been using a few weeks...if anything notable happens I will update this post.  I have a dental cleaning in a few weeks so I\'m curious to see if my dentist notices anything different!"
5816,2643,2707,20101118,B003UKKHB4,5,"November 18, 2010",AONUCJBC85BL,A serious machine for people serious about clean teeth.,"My oldest daughter loves this, she uses it every night. In the mornings she uses her regular toothbrush for quick brushes but at night she spends a good 10 minutes using this. I think it makes her feel both a little more grown up but also she likes taking care of her teeth. Could not be happier with it."
4122,949,968,20101228,B000AUIFCA,5,"December 28, 2010",A1KK5ASID8Y66W,Good Deal.,"I use the Oral B Triumph, and found these replacement heads cheaper than you can get them in any store.  Because I have Prime, I got them in 2 days without shipping fees.  Great product and no issues, the way it should be!!!"
645,225,233,20080406,B0001LQGEM,1,"April 6, 2008",A4XPQDALRXFUE,disapointed.,"VERY DISAPOINTED WITH THIS PRODUCT. CAN NOT GET  A CLOSE SHAVE WITH IT, MUST GO OVER SAME AREA SEVERAL TIMES CAUSING RAZOR BURN. WON\'T RE-PURCHASE.    "
3389,216,220,20091006,B00006ANDQ,5,"October 6, 2009",A2CM0QOGMVRNRZ,"great product, great service",I purchased the replacement heads from USHealth through Amazon. The order arrived quickly and in perfect condition. I have used these heads before and always got good service from them. I expect these will be as good. I have always been well satisfied with Oral B products.
1704,1284,1320,20111123,B001F51QJ8,3,"November 23, 2011",AKGYV341V3N3L,"Yes it works, but damn it\'s expensive","In my experience this works just as well as the Gillette all day clean, but is considerably more expensive. Try the non clinical solution first, if it works for you, then why pay more?    "
2392,1972,2044,20100819,B003987CL0,4,"August 19, 2010",A20S4G1EXF2OM7,Smooth and Clean,"This razor does a good job of what it is intended to do - give a clean, close shave and not cause razor burn in the process. The blade sharpness seems to last about the same as other blades and it is evident from the razor drag when it is time to change to a new blade. The only negative impressions I had were figuring out how to load the battery in the handle and the cost of replacement blades which are quite a bit more than standard disposable razor blades. If comfort and a close shave is more important than price then this is a good razor for you.    "
6310,74,76,20110310,B001JQLNRS,5,"March 10, 2011",AZCAFPP72SV6M,Pantene Pro-V Nature Fusion.,I love this product!  It is the best pantene pro-v product on the market!  I would definately buy again. 
5545,2372,2427,20101001,B002HWS9GG,5,"October 1, 2010",A15ASVI83ZHOSD,Best brushing experience ever,"I love this thing and all the features that come with it. I love knowing if I am pressing too hard. You\'d be surprised how little effort it takes to get a clean, polished feel. It feels when I brush weird without it. I don\'t regret this purchase at all! Go get one."
5077,1904,1949,20101214,B002HWS9FW,5,"December 14, 2010",ACWCPKCEUQUS0,Great deal on a very good toothbrush,"My dentist recommended I switch to a powered toothbrush.  After looking over the options and reading up on some of them, I went for the lower-cost toothbrush.  I have been very happy with this.  Still running off the initial set of batteries, so it\'s got long life and my teeth are noticably cleaner than with a regular toothbrush.  More expensive brushes and different technologies may be better, but for me, for now, this was the right choice."
6669,10,10,20110826,B001G7QJQA,5,"August 26, 2011",A3AKI38YHMGOHX,The ONLY tampon I trust,I have very heavy flow days and so many other tampons have disappointed me. I buy very expensive panties and do not enjoy having to replace them because my tampon didnt hold up. These always work even on my heaviest days and they feel a lot more comfortable than other tampons.
